coin,fundingRate,premium,time
HYPE,1.25e-05,0.000311871,1740492000000
HYPE,1.25e-05,0.0002216227,1740495600006
HYPE,1.25e-05,0.0001801314,1740499200007
HYPE,1.25e-05,-0.0002500784,1740502800035
HYPE,1.25e-05,0.0003831096,1740506400013
HYPE,1.25e-05,0.0002125247,1740510000031
HYPE,2.11231e-05,0.000668985,1740513600027
HYPE,1.25e-05,0.0002803031,1740517200054
HYPE,1.25e-05,0.000290462,1740520800040
HYPE,6.9857e-05,0.0010588562,1740524400000
HYPE,1.25e-05,0.0002787543,1740528000018
HYPE,1.25e-05,0.0002226653,1740531600028
HYPE,1.25e-05,0.0001227146,1740535200045
HYPE,1.25e-05,6.5851e-06,1740538800034
HYPE,2.33559e-05,0.0006868473,1740542400031
HYPE,8.13688e-05,0.0011509507,1740546000005
HYPE,1.25e-05,0.000497841,1740549600045
HYPE,4.05682e-05,0.0008245456,1740553200033
HYPE,1.25e-05,0.0005616777,1740556800090
HYPE,5.62469e-05,0.0009499756,1740560400042
HYPE,2.88724e-05,0.0007309794,1740564000041
HYPE,1.25e-05,0.0003732765,1740567600020
HYPE,1.25e-05,0.0004491181,1740571200020
HYPE,8.26848e-05,0.0011614781,1740574800024
HYPE,0.0001319001,0.0015552009,1740578400043
HYPE,0.0001172495,0.0014379963,1740582000035
HYPE,0.0001104403,0.0013835226,1740585600086
HYPE,0.0001590139,0.0017721112,1740589200048
HYPE,6.56519e-05,0.0010252156,1740592800041
HYPE,8.51514e-05,0.0011812114,1740596400182
HYPE,0.0001225586,0.0014804685,1740600000197
HYPE,6.93412e-05,0.0010547297,1740603600028
HYPE,5.97919e-05,0.0009783352,1740607200064
HYPE,1.25e-05,0.0004550995,1740610800135
HYPE,1.25e-05,0.0005066461,1740614400080
HYPE,2.75033e-05,0.0007200262,1740618000065
HYPE,1.25e-05,0.0004158187,1740621600026
HYPE,3.9739e-05,0.0008179124,1740625200077
HYPE,5.84425e-05,0.0009675401,1740628800028
HYPE,1.25e-05,2.9296e-06,1740632400007
HYPE,1.61772e-05,0.0006294174,1740636000026
HYPE,1.7894e-05,0.000643152,1740639600052
HYPE,1.25e-05,0.0002218977,1740643200140
HYPE,1.25e-05,0.0005305521,1740646800030
HYPE,1.25e-05,0.0002351824,1740650400090
HYPE,1.76586e-05,0.0006412686,1740654000060
HYPE,1.25e-05,0.0003559582,1740657600031
HYPE,5.13367e-05,0.0009106936,1740661200037
HYPE,2.86595e-05,0.0007292761,1740664800039
HYPE,1.25e-05,0.0001635439,1740668400051
HYPE,1.25e-05,0.0002026595,1740672000009
HYPE,1.4331e-05,0.0006146476,1740675600060
HYPE,2.17939e-05,0.0006743513,1740679200027
HYPE,1.25e-05,0.0003004607,1740682800036
HYPE,1.81439e-05,0.0006451514,1740686400058
HYPE,0.0001746231,0.0018969849,1740690000047
HYPE,0.0002202081,0.002261665,1740693600082
HYPE,4.66582e-05,0.0008732654,1740697200080
HYPE,0.0001017742,0.0013141939,1740700800071
HYPE,0.000111447,0.0013915763,1740704400016
HYPE,0.0001017884,0.0013143073,1740708000023
HYPE,0.0001497777,0.0016982214,1740711600052
